,Facility.Name,Facility.City,Facility.State,Facility.Type,Rating.Overall,Rating.Mortality,Rating.Safety,Rating.Readmission,Rating.Experience,Rating.Effectiveness,Rating.Timeliness,Rating.Imaging
3809,St Michael's Hospital - Cah,Tyndall,SD,Government,-1,,,,,,,
3810,Pioneer Memorial Hospital - Cah,Viborg,SD,Private,-1,,,,,Same,,
3811,Sanford Chamberlain Medical Center,Chamberlain,SD,Private,-1,,,,,,,
3812,Avera St Benedict Health Center - Cah,Parkston,SD,Private,3,,,Below,,Same,Above,
3813,Avera Dells Area Hospital  - Cah,Dell Rapids,SD,Private,-1,,,,,,,
3814,Avera De Smet Memorial Hospital - Cah,De Smet,SD,Private,-1,,,,,,,
3815,Sanford Canton-inwood Medical Center - Cah,Canton,SD,Private,-1,,,,,,,
3816,Winner Regional Healthcare Center - Cah,Winner,SD,Private,-1,,,,,,,
3817,Huron Regional Medical Center,Huron,SD,Private,2,Same,,Below,Same,,,Same
3818,Sanford Vermillion Hospital,Vermillion,SD,Private,-1,,,Same,,,,
3819,Avera Hand County Memorial Hospital And Clinic,Miller,SD,Private,-1,Same,,Same,,,,
3820,Avera Gregory Hospital,Gregory,SD,Private,5,Same,,Same,Above,,,
3821,Coteau Des Prairies Health Care System,Sisseton,SD,Private,3,,,Same,,Same,Same,
3822,Lifescape,Sioux Falls,SD,Private,-1,,,,,,,
3823,Unicoi County  Hospital,Erwin,TN,Private,3,Same,,Below,,Same,Above,
3824,Jackson-madison County General Hospital,Jackson,TN,Government,1,Below,Below,Below,Above,Same,Same,Same
3825,Sumner Regional Medical Center,Gallatin,TN,Proprietary,2,Same,Above,Below,Same,Above,Above,Same
3826,Tristar Skyline Medical Center,Nashville,TN,Private,2,Below,Same,Below,Below,Same,Same,Same
3827,Unity Medical Center,Manchester,TN,Unknown,4,Same,,Same,Same,Below,Above,Same
3828,Henderson County Community Hospital,Lexington,TN,Proprietary,3,Same,,Same,,Same,Above,Same
3829,Cumberland Medical Center,Crossville,TN,Private,3,Same,Above,Below,Same,Same,Below,Below
3830,Wayne Medical Center,Waynesboro,TN,Unknown,3,Same,,Same,,Same,Above,Same
3831,Blount Memorial Hospital,Maryville,TN,Government,2,Same,Below,Below,Below,Same,Same,Above
3832,Bristol Regional Medical Center,Bristol,TN,Government,1,Same,Below,Below,Same,Below,Same,Same
3833,University Of Tn Medical Center (the),Knoxville,TN,Private,2,Same,Below,Above,Above,Same,Below,Same
3834,Baptist Memorial Hospital Huntingdon,Huntingdon,TN,Private,4,Same,,Above,,Same,Above,Same
3835,Holston Valley Medical Center,Kingsport,TN,Private,2,Same,Below,Below,Same,Same,Below,Below
3836,Sycamore Shoals Hospital,Elizabethton,TN,Private,3,Same,Same,Below,Same,Same,Above,Same
3837,Southern Tennessee Regional Health System Pulaski,Pulaski,TN,Proprietary,4,Same,,Same,Same,Same,Above,Same
3838,"Laughlin Memorial Hospital, Inc",Greeneville,TN,Private,2,Below,Same,Below,Same,Same,Above,Same
3839,Williamson Medical Center,Franklin,TN,Government,5,Same,Above,Above,Above,Same,Above,Same
3840,Morristown Hamblen Hospital Association,Morristown,TN,Government,2,Same,Above,Below,Same,Same,Below,Same
3841,Roane Medical Center,Harriman,TN,Government,2,Same,Below,Below,Same,Same,Same,Same
3842,Hawkins County Memorial Hospital,Rogersville,TN,Private,3,Same,,Same,Same,Same,Above,Same
3843,Tennova Healthcare-lafollett Medical Center,La Follette,TN,Church,2,Same,Same,Below,Below,Same,Same,Same
3844,Methodist Medical Center Of Oak Ridge,Oak Ridge,TN,Private,1,Same,Below,Below,Above,Same,Same,Above
3845,Tennova Healthcare-clarksville,Clarksville,TN,Government,2,Below,Above,Above,Below,Same,Same,Same
3846,Vanderbilt University Medical Center,Nashville,TN,Private,3,Same,Above,Below,Above,Same,Below,Above
3847,Perry Community Hospital,Linden,TN,Proprietary,3,Same,,Below,,Below,Above,
3848,Tristar Horizon Medical Center,Dickson,TN,Proprietary,3,Same,Above,Below,Same,Above,Above,Above
3849,Baptist Memorial Hospital,Memphis,TN,Private,1,Above,Below,Below,Below,Above,Above,Above
3850,Methodist Healthcare Memphis Hospitals,Memphis,TN,Church,2,Same,Below,Below,Same,Below,Below,Above
3851,Takoma Regional Hospital,Greeneville,TN,Private,2,Same,Below,Below,Same,Same,Same,Same
3852,Saint Thomas Rutherford Hospital,Murfreesboro,TN,Church,1,Below,Below,Below,Above,Same,Same,Above
3853,Tennova Healthcare-jefferson Memorial Hospital,Jefferson City,TN,Proprietary,3,Same,,Below,Same,Same,Above,Same
3854,Claiborne Medical Center,Tazewell,TN,Government,2,Same,,Below,Same,Below,Same,Same
3855,Southern Tennessee Regional Hlth System Winchester,Winchester,TN,Proprietary,3,Same,Same,Above,Below,Below,Above,Same
3856,Cookeville Regional Medical Center,Cookeville,TN,Government,4,Same,Above,Above,Below,Same,Below,Same
3857,Milan General Hospital,Milan,TN,Government,4,Same,,Above,,Same,Above,Same
3858,West Tennessee Healthcare Volunteer Hospital,Martin,TN,Proprietary,4,Same,,Above,Same,Same,Above,Same
3859,Johnson City Medical Center,Johnson City,TN,Private,1,Below,Below,Below,Below,Same,Same,Same
3860,Northcrest Medical Center,Springfield,TN,Unknown,1,Below,Below,Below,Same,Same,Above,Same
3861,Lakeway Regional Hospital,Morristown,TN,Proprietary,3,Same,Same,Above,Same,Same,Above,
3862,Starr Regional Medical Center Athens,Athens,TN,Proprietary,2,Below,,Above,Same,Same,Same,Same
3863,Decatur County General Hospital,Parsons,TN,Government,3,Same,,Same,,Same,Same,
3864,West Tennessee Healthcare Dyersburg Hospital,Dyersburg,TN,Proprietary,1,Same,Same,Below,Below,Above,Above,Above
3865,Maury Regional Hospital,Columbia,TN,Government,3,Below,Above,Below,Above,Same,Same,Same
3866,Leconte Medical Center,Sevierville,TN,Unknown,2,Same,Below,Below,Same,Same,Below,Same
3867,Saint Thomas West Hospital,Nashville,TN,Church,4,Same,Above,Above,Above,Below,Above,Above
3868,Jamestown Regional Medical Center,Jamestown,TN,Proprietary,4,Same,,Above,Same,Same,Same,Below
3869,Sweetwater Hospital Association,Sweetwater,TN,Private,3,Same,Same,Below,Same,Below,Same,Same
3870,"Memorial Healthcare System, Inc",Chattanooga,TN,Church,4,Same,Below,Above,Above,Same,Below,Below
3871,Lincoln Medical Center,Fayetteville,TN,Government,4,Same,Same,Above,Same,Same,Above,Same
3872,Erlanger Medical Center,Chattanooga,TN,Government,2,Below,Same,Above,Below,Same,Below,Same
3873,Hardin Medical Center,Savannah,TN,Government,3,Same,,Below,Same,Same,Same,Above
3874,Fort Loudon Medical Center,Lenoir City,TN,Unknown,3,Same,Below,Above,Same,Same,Same,Same
3875,Metro Nashville General Hospital,Nashville,TN,Government,2,,Same,,Below,Same,Same,
3876,Tennova Healthcare,Knoxville,TN,Proprietary,2,Below,Same,Below,Below,Below,Below,Above
3877,Fort Sanders Regional Medical Center,Knoxville,TN,Private,2,Below,Below,Above,Same,Below,Below,Same
3878,Baptist Memorial Hospital Union City,Union City,TN,Private,2,Same,Above,Below,Same,Same,Above,Same
3879,Baptist Memorial Hospital Tipton,Covington,TN,Church,3,Same,,Same,Same,Same,Above,Same
3880,Henry County Medical Center,Paris,TN,Government,3,Below,Below,Above,Above,Same,Same,Same
3881,Saint Thomas Midtown Hospital,Nashville,TN,Private,3,Same,Below,Above,Above,Same,Same,Same
3882,Tennova Healthcare-shelbyville,Shelbyville,TN,Proprietary,3,Same,,Same,Same,Same,Same,Same
3883,Tennova Healthcare-harton,Tullahoma,TN,Unknown,3,Same,Below,Above,Same,Same,Same,Same
3884,Saint Thomas Dekalb Hospital,Smithville,TN,Church,4,Same,,Same,Above,Same,Same,Same
3885,Tristar Summit Medical Center,Hermitage,TN,Proprietary,2,Same,Above,Below,Below,Same,Same,Same
3886,Saint Thomas River Park Hospital,Mc Minnville,TN,Proprietary,3,Same,Above,Same,Same,Same,Same,Same
3887,Regional One Health,Memphis,TN,Government,1,,Below,Same,Below,Same,Below,Same
3888,Tennova Healthcare-newport Medical Center,Newport,TN,Church,3,Same,,Above,Below,Same,Above,Same
3889,Parkridge Medical Center,Chattanooga,TN,Proprietary,3,Same,Below,Above,Below,Above,Same,Same
3890,Delta Medical Center,Memphis,TN,Proprietary,-1,,,,,Same,,
3891,Tristar Centennial Medical Center,Nashville,TN,Proprietary,4,Same,Above,Below,Same,Same,Same,Same
3892,Parkwest Medical Center,Knoxville,TN,Private,2,Below,Above,Above,Above,Same,Below,Same
3893,Southern Tennessee Regional Health System Lawrence,Lawrenceburg,TN,Unknown,4,Same,Above,Same,Same,Same,Above,Same
3894,Indian Path Community Hospital,Kingsport,TN,Private,4,Same,Same,Same,Same,Same,Above,Same
3895,Jellico Community Hospital,Jellico,TN,Private,3,Same,,Above,Same,Same,Same,
3896,Mckenzie Regional Hospital,Mc Kenzie,TN,Proprietary,3,Same,,Above,Below,Same,Above,Same
3897,St Francis Hospital,Memphis,TN,Proprietary,3,Same,Above,Above,Below,Same,Same,Same
3898,Franklin Woods Community Hospital,Johnson City,TN,Private,4,Same,Above,Below,Above,Same,Same,Below
3899,Tennova Healthcare-cleveland,Cleveland,TN,Proprietary,1,Below,Below,Above,Same,Same,Below,Same
3900,Livingston Regional Hospital,Livingston,TN,Proprietary,4,Below,Same,Above,Above,Same,Above,Same
3901,Saint Thomas Highlands Hospital,Sparta,TN,Proprietary,3,Same,,Same,Same,Same,Same,Same
3902,Tennova Healthcare-lebanon,Lebanon,TN,Private,2,Same,Same,Below,Below,Same,Same,Same
3903,Tristar Hendersonville Medical Center,Hendersonville,TN,Unknown,3,Same,Above,Same,Below,Same,Above,Same
3904,Tristar Southern Hills Medical Center,Nashville,TN,Proprietary,2,Same,Below,Same,Same,Same,Above,Same
3905,Saint Thomas Stones River Hospital,Woodbury,TN,Proprietary,4,Same,,Above,,Same,Above,
3906,Saint Thomas Hospital For Specialty Surgery,Nashville,TN,Unknown,-1,,,,Above,,,
3907,Tristar Stonecrest Medical Center,Smyrna,TN,Proprietary,2,Same,Below,Below,Same,Same,Same,Same
3908,Saint Francis Bartlett Medical Center,Bartlett,TN,Proprietary,3,Same,Above,Below,Same,Above,Same,Same
3909,Trustpoint Hospital,Murfreesboro,TN,Proprietary,-1,,,,,,,
3910,Big South Fork Medical Center,Oneida,TN,Proprietary,-1,,,,,,,
3911,Saint Thomas Hickman Hospital,Centerville,TN,Private,-1,,,,,,,
3912,Trousdale Medical Center,Hartsville,TN,Unknown,-1,Same,,Same,,,,
3913,Three Rivers Hospital,Waverly,TN,Private,2,,,Below,,Same,Above,Same
3914,Johnson County Community Hospital,Mountain City,TN,Private,-1,,,,,,,
3915,Macon Community Hospital,Lafayette,TN,Private,4,Same,,Above,Above,Same,Same,Same
3916,Erlanger Bledsoe Hospital,Pikeville,TN,Government,-1,,,,,,,
3917,Riverview Regional Medical Center,Carthage,TN,Proprietary,4,Same,,Same,Above,Same,Above,
3918,Marshall Medical Center,Lewisburg,TN,Government,4,,,Same,,Same,Above,Same
3919,Rhea Medical Center,Dayton,TN,Government,2,Below,,Same,Same,Same,Above,Same
3920,Tristar Ashland City Medical Center,Ashland City,TN,Proprietary,-1,,,,,Same,Above,Same
3921,Hancock County Hospital,Sneedville,TN,Unknown,-1,,,,,,,
3922,Lauderdale Community Hospital,Ripley,TN,Proprietary,4,,,Above,,Same,Same,
3923,Camden General Hospital,Camden,TN,Government,3,Same,,Same,,Same,Above,Same
3924,Cumberland River Hospital,Celina,TN,Government,-1,Same,,Above,,,,
3925,Houston County Community Hospital,Erin,TN,Government,-1,,,,,,,
3926,St Jude Childrens Research Hospital,Memphis,TN,Private,-1,,,,,,,
3927,East Tennessee Childrens Hospital,Knoxville,TN,Private,-1,,,,,,,
3928,The Hospitals Of Providence Memorial Campus,El Paso,TX,Proprietary,3,Same,Same,Same,Below,Same,Same,Below
3929,Peterson Regional Medical Center,Kerrville,TX,Private,3,Same,Below,Above,Above,Same,Below,Same
3930,United Regional Health Care System,Wichita Falls,TX,Private,4,Below,Above,Above,Same,Same,Same,Same
3931,St Joseph Regional Health Center,Bryan,TX,Private,4,Same,Above,Above,Same,Same,Same,Same
3932,Parkland Health And Hospital System,Dallas,TX,Government,2,Same,Below,Below,Same,Below,Below,Same
3933,University Of Texas Medical Branch,Galveston,TX,Government,2,Same,Same,Below,Above,Same,Same,Below
3934,Baylor University Medical Center,Dallas,TX,Church,3,Same,Below,Above,Same,Above,Below,Above
3935,Citizens Medical Center,Victoria,TX,Unknown,4,Same,Above,Same,Same,Same,Above,Same
3936,University Medical Center Of El Paso,El Paso,TX,Government,2,Same,Same,Below,Below,Same,Below,Same
3937,Valley Baptist Medical Center- Brownsville,Brownsville,TX,Proprietary,4,Same,Above,Same,Below,Same,Above,Same
3938,Laredo Medical Center,Laredo,TX,Proprietary,4,Above,Above,Above,Below,Same,Below,Below
3939,Christus Good Shepherd Medical Center Marshall,Marshall,TX,Private,3,Above,Below,Below,Same,Same,Same,Same
3940,Vhs Harlingen Hospital Company Llc,Harlingen,TX,Proprietary,3,Same,Above,Above,Below,Same,Below,Below
3941,Christus Southeast Texas- St Elizabeth,Beaumont,TX,Church,2,Same,Below,Below,Same,Same,Below,Same
3942,St Joseph Medical Center,Houston,TX,Proprietary,2,Same,Below,Same,Below,Above,Below,Same
3943,Jps Health Network,Fort Worth,TX,Government,2,Same,Below,Below,Below,Same,Below,Same
3944,Covenant Medical Center,Lubbock,TX,Church,3,Below,Above,Above,Same,Below,Below,Below
3945,Providence Health Center,Waco,TX,Private,2,Below,Below,Above,Above,Same,Same,Same
3946,Ut Southwestern University Hospital,Dallas,TX,Government,4,Above,Below,Below,Above,Same,Below,Same
3947,Christus Spohn Hospital Corpus Christi,Corpus Christi,TX,Private,2,Same,Same,Above,Below,Same,Below,Same
3948,Methodist Dallas Medical Center,Dallas,TX,Unknown,3,Same,Above,Above,Same,Same,Below,Below
3949,Baylor Scott & White Medical Center - Temple,Temple,TX,Private,2,Above,Below,Below,Above,Same,Below,Same
3950,Rolling Plains Memorial Hospital,Sweetwater,TX,Government,4,Same,,Above,Above,Same,Above,Same
3951,Seton Medical Center Austin,Austin,TX,Private,4,Same,Above,Above,Same,Same,Same,Same
3952,Baptist Medical Center,San Antonio,TX,Proprietary,3,Below,Above,Above,Below,Same,Below,Above
3953,Texas Health Arlington Memorial Hospital,Arlington,TX,Private,3,Same,Above,Below,Same,Same,Below,Above
3954,Memorial Hermann Texas Medical Center,Houston,TX,Private,2,Same,Below,Below,Above,Same,Above,Below
3955,Brazosport Regional Health System,Lake Jackson,TX,Private,3,Same,Above,Below,Below,Same,Below,Same
3956,Anson General Hospital,Anson,TX,Government,-1,,,,,Same,Above,
3957,Baylor Medical Center At Irving,Irving,TX,Private,4,Same,Above,Same,Same,Same,Same,Same
3958,Titus Regional Medical Center,Mount Pleasant,TX,Government,3,Same,Above,Above,Same,Same,Same,Below
3959,Christus Spohn Hospital Beeville,Beeville,TX,Church,2,Same,,Same,Same,Same,Same,
3960,Ut Health East Texas Tyler Regional Hospital,Tyler,TX,Private,3,Below,Above,Same,Below,Same,Same,Above
3961,Graham Regional Medical Center,Graham,TX,Government,3,Same,,Above,Same,Same,Same,Below
3962,Medical City North Hills,North Richland Hills,TX,Proprietary,2,Same,Same,Below,Same,Same,Same,
3963,North Texas Medical Center,Gainesville,TX,Government,3,Same,,Below,Same,Same,Above,Same
3964,Fort Duncan Medical Center,Eagle Pass,TX,Proprietary,4,Same,Above,Above,Below,Same,Below,Same
3965,Bayshore Medical Center,Pasadena,TX,Proprietary,2,Same,Above,Below,Below,Same,Below,Same
3966,Pampa Regional Medical Center,Pampa,TX,Private,4,Same,Above,Same,Same,Same,Above,Same
3967,Baylor Scott & White Medical Center Hillcrest,Waco,TX,Private,3,Same,Same,Above,Above,Same,Same,Same
3968,Christus Mother Frances Hospital,Tyler,TX,Private,4,Same,Above,Above,Above,Same,Same,Below
3969,Guadalupe Regional Medical Center,Seguin,TX,Unknown,2,Same,Below,Above,Above,Same,Same,Below
3970,Las Palmas Medical Center,El Paso,TX,Proprietary,3,Same,Above,Below,Below,Above,Below,Same
3971,Connally Memorial Medical Center,Floresville,TX,Government,4,Same,,Same,Above,Same,Same,Same
3972,South Texas Health System,Edinburg,TX,Proprietary,3,Above,Same,Below,Below,Above,Same,Same
3973,Dell Seton  Med Center At The University Of Tx,Austin,TX,Private,1,Same,Below,Below,Above,Same,Below,
3974,Knapp Medical Center,Weslaco,TX,Private,4,Above,Above,Below,Below,Same,Above,Below
3975,Nix Health Care System,San Antonio,TX,Proprietary,5,Same,Above,Above,Same,Same,Same,Same
3976,Medical Center Hospital,Odessa,TX,Government,1,Below,Below,Below,Below,Same,Below,Same
3977,Midland Memorial Hospital,Midland,TX,Government,2,Below,Above,Same,Below,Same,Below,Same
3978,Texas Health Harris Methodist Fort Worth,Fort Worth,TX,Church,2,Below,Above,Above,Same,Same,Below,Above
3979,Baylor Scott And White All Saints Medical Center,Fort Worth,TX,Private,4,Above,Above,Above,Below,Same,Below,Below
3980,Seton Smithville Regional Hospital,Smithville,TX,Church,4,,,Same,,Same,Above,Same
3981,Permian Regional Medical Center Andrews County Ho,Andrews,TX,Government,4,,,Above,,Same,Above,
3982,Detar Healthcare System,Victoria,TX,Proprietary,4,Same,Above,Below,Same,Same,Same,Same
3983,Texas Health Harris Methodist Hospital Cleburne,Cleburne,TX,Church,4,Same,Above,Above,Same,Same,Same,Same
3984,Metroplex Hospital,Killeen,TX,Private,2,Same,Above,Below,Below,Same,Below,Below
3985,Val Verde Regional Medical Center,Del Rio,TX,Proprietary,3,Same,,Above,Same,Same,Same,Below
3986,Hereford Regional Medical Center,Hereford,TX,Government,3,Same,,Same,,Below,Same,
3987,Grace Medical Center,Lubbock,TX,Unknown,5,,Above,Above,Above,Same,Above,Below
3988,Christus Spohn Hospital Kleberg,Kingsville,TX,Private,2,Same,Same,Below,Below,Below,Below,Same
3989,Methodist Hospital South,Jourdanton,TX,Proprietary,4,Same,Above,Above,Same,Same,Same,Same
3990,Mission Regional Medical Center,Mission,TX,Private,3,Above,Below,Below,Below,Same,Same,Same
3991,Memorial Hermann Hospital System,Houston,TX,Private,4,Above,Above,Below,Same,Below,Below,Below
3992,Scott & White Hospital Brenham,Brenham,TX,Private,3,Same,,Above,Same,Same,Above,Same
3993,Hill Regional Hospital,Hillsboro,TX,Private,3,Same,,Same,Same,Same,Above,
3994,Chi St Luke's Health Baylor College Of Medicine Me,Houston,TX,Church,3,Above,Below,Below,Below,Same,Below,Below
3995,Ut Health East Texas Jacksonville Hospital,Jacksonville,TX,Private,3,Same,Above,Above,Same,Same,Above,Same
3996,Paris Regional Medical Center,Paris,TX,Proprietary,2,Below,Same,Above,Below,Same,Same,Same
3997,Wadley Regional Medical Center,Texarkana,TX,Unknown,3,Same,Same,Above,Same,Same,Below,Below
3998,Medical City Weatherford,Weatherford,TX,Proprietary,2,Same,Below,Same,Below,Same,Same,Same
3999,Northwest Texas Hospital,Amarillo,TX,Proprietary,2,Below,Below,Same,Below,Same,Below,Same
4000,Ut Health East Texas Carthage Hospital,Carthage,TX,Private,3,Same,,Same,,Same,Above,Same
4001,Chi St Lukes Health Memorial Lufkin,Lufkin,TX,Private,1,Same,Below,Below,Below,Same,Below,Below
4002,University Health System,San Antonio,TX,Government,2,Same,Below,Below,Same,Same,Below,Below
4003,Baylor Scott & White Medical Center - Llano,Llano,TX,Private,3,,,Same,,Same,Above,Same
4004,Conroe Regional Medical Center,Conroe,TX,Proprietary,1,Same,Below,Below,Below,Same,Same,Below
4005,Hendrick Medical Center,Abilene,TX,Private,3,Same,Below,Above,Same,Same,Below,Same
4006,Baptist St Anthony's Hospital,Amarillo,TX,Proprietary,4,Same,Below,Above,Above,Same,Below,Above
4007,Memorial Hospital,Gonzales,TX,Government,4,,,Same,Above,Same,Same,Same
4008,Christus Mother Frances Hospital Sulphur Springs,Sulphur Springs,TX,Proprietary,3,Same,Same,Above,Below,Same,Same,Same
4009,Christus Santa Rosa Medical Center,San Antonio,TX,Church,3,Same,Below,Above,Below,Below,Below,Same
4010,Faith Community Hospital,Jacksboro,TX,Government,-1,,,,,Same,Above,
4011,Hamlin Memorial Hospital,Hamlin,TX,Government,-1,,,,,Same,Above,
4012,Bellville St Joseph Health Center,Bellville,TX,Proprietary,-1,,,,,Same,Same,
4013,Wise Regional Health System,Decatur,TX,Government,2,Below,Below,Below,Below,Same,Same,Same
4014,Central Texas Medical Center,San Marcos,TX,Private,3,Same,Same,Below,Same,Same,Above,Same
4015,Harris Health System,Houston,TX,Government,1,Same,Below,Below,Same,Below,Below,Same
4016,Texas Health Presbyterian Hospital Kaufman,Kaufman,TX,Private,3,Same,Same,Same,Same,Same,Above,Same
4017,College Station Medical Center,College Station,TX,Proprietary,3,Same,Same,Same,Same,Same,Above,Same
4018,Texoma Medical Center,Denison,TX,Proprietary,2,Same,Below,Below,Same,Same,Same,Below
4019,Oakbend Medical Center,Richmond,TX,Government,3,Same,Below,Same,Same,Same,Above,Same
4020,San Angelo Community Medical Center,San Angelo,TX,Proprietary,4,Same,Above,Above,Above,Same,Above,Same
4021,Baptist Beaumont Hospital,Beaumont,TX,Private,3,Same,Above,Below,Same,Same,Below,Above
4022,Huntsville Memorial Hospital,Huntsville,TX,Private,1,Same,Same,Below,Below,Below,Below,Same
4023,Falls Community Hospital And Clinic,Marlin,TX,Private,4,,,Same,Same,Same,Above,
4024,Texas Health Harris Methodist Hospital Stephenvill,Stephenville,TX,Private,4,Same,Above,Below,Above,Same,Same,
4025,Hunt Regional Medical Center,Greenville,TX,Government,3,Same,Same,Below,Same,Same,Same,Below
4026,Houston Methodist Hospital,Houston,TX,Private,5,Above,Above,Above,Above,Same,Below,Below
4027,Childress Regional Medical Center,Childress,TX,Government,4,Same,,Same,Above,Same,Above,
4028,Columbus Community Hospital,Columbus,TX,Private,4,Same,,Above,Same,Same,Same,Same
4029,Baylor Scott & White Medical Center- Waxahachie,Waxahachie,TX,Private,4,Same,Above,Above,Above,Same,Same,Same
4030,Dallas Medical Center,Dallas,TX,Proprietary,4,Same,Above,Above,Below,Same,Same,
4031,Methodist Hospital,San Antonio,TX,Proprietary,3,Same,Below,Same,Same,Above,Below,Same
4032,Ut Health East Texas Athens Hospital,Athens,TX,Private,3,Below,Same,Above,Same,Same,Same,Above
4033,Memorial Medical Center Livingston,Livingston,TX,Private,3,Same,Same,Same,Same,Same,Same,Below
4034,Brownfield Regional Medical Center,Brownfield,TX,Government,3,,,Same,,Below,Above,
4035,Parkview Regional Hospital,Mexia,TX,Proprietary,3,Same,,Same,,Same,Above,Same
4036,Medical Center Of Mckinney,Mckinney,TX,Proprietary,2,Same,Above,Below,Below,Same,Above,Same
4037,Eastland Memorial Hospital,Eastland,TX,Government,2,Same,,Same,,Below,Same,
4038,Texas Health Harris Methodist Hospital Azle,Azle,TX,Church,3,Same,,Same,Same,Same,Same,Same
4039,Baylor Medical Center At Uptown,Dallas,TX,Proprietary,-1,,,,Above,Same,Same,
4040,Houston Methodist San Jacinto Hospital,Baytown,TX,Private,3,Same,Same,Above,Below,Same,Below,Below
4041,St David's Medical Center,Austin,TX,Unknown,5,Above,Above,Above,Above,Above,Above,Above
4042,Navarro Regional Hospital,Corsicana,TX,Unknown,2,Same,Below,Above,Same,Above,Above,Same
4043,Glen Rose Medical Center,Glen Rose,TX,Government,3,,,Same,,Below,Above,Same
4044,Tyler County Hospital,Woodville,TX,Government,2,Same,,Below,,Below,Above,
4045,Texas Health Presbyterian Hospital  Dallas,Dallas,TX,Private,4,Same,Above,Above,Same,Same,Below,Same
4046,Matagorda Regional Medical Center,Bay City,TX,Government,3,Same,Same,Same,Same,Same,Same,Same
4047,Wilson N Jones Regional Medical Center,Sherman,TX,Proprietary,3,Same,Same,Above,Below,Same,Same,Same
4048,Ut Health East Texas Henderson Hospital,Henderson,TX,Private,3,Same,Below,Same,Same,Same,Above,Same
4049,Woodland Heights Medical Center,Lufkin,TX,Proprietary,4,Same,Same,Same,Same,Above,Above,Same
4050,Allegiance Specialty Hospital Of Kilgore,Kilgore,TX,Proprietary,-1,,,,,,,
4051,Medical Arts Hospital,Lamesa,TX,Government,-1,,,,,Same,Above,Same
4052,Stephens Memorial Hospital,Breckenridge,TX,Government,3,,,Above,,Below,Above,
4053,Memorial Hospital,Nacogdoches,TX,Government,2,Same,Same,Below,Below,Below,Same,Same
4054,The Medical Center Of Southeast Texas,Port Arthur,TX,Proprietary,3,Same,Above,Same,Below,Same,Below,Below
4055,Methodist Richardson Medical Center,Richardson,TX,Government,2,Same,Below,Same,Same,Same,Above,Below
4056,Covenant Hospital Plainview,Plainview,TX,Private,4,Same,Above,Above,Above,Below,Same,Same
4057,Abilene Regional Medical Center,Abilene,TX,Proprietary,2,Below,Below,Above,Same,Same,Same,Same
4058,Baylor Scott & White Medical Center  Grapevine,Grapevine,TX,Private,4,Same,Above,Below,Above,Same,Above,Same
4059,Palo Pinto General Hospital,Mineral Wells,TX,Government,2,Same,,Same,Same,Same,Above,Below
4060,Shannon Medical Center,San Angelo,TX,Private,4,Same,Above,Above,Above,Above,Same,Same
4061,Christus Jasper Memorial Hospital,Jasper,TX,Government,2,Same,,Below,Same,Same,Same,Same
4062,Hemphill County Hospital,Canadian,TX,Government,3,,,Same,,Same,Above,
4063,Wilbarger General Hospital,Vernon,TX,Government,3,Same,,Same,,Same,Above,Same
4064,Seymour Hospital,Seymour,TX,Government,4,,,Same,,Same,Above,
4065,Brownwood Regional Medical Center,Brownwood,TX,Proprietary,1,Below,Below,Above,Below,Same,Same,Below
4066,Lake Granbury Medical Center,Granbury,TX,Proprietary,4,Same,Above,Above,Below,Same,Same,Below
4067,Cuero Regional Hospital,Cuero,TX,Government,3,Same,,Above,Same,Same,Above,Same
4068,Hill Country Memorial Hospital Inc,Fredericksburg,TX,Private,5,Same,Above,Above,Above,Same,Above,Below
4069,Care Regional Medical Center,Aransas Pass,TX,Proprietary,3,Same,,Same,,Same,Below,
4070,Memorial Hermann Memorial City Medical Center,Houston,TX,Private,5,Above,Above,Same,Above,Same,Same,Below
4071,Clear Lake Regional Medical Center,Webster,TX,Proprietary,3,Above,Below,Below,Below,Same,Above,Same
4072,Medical City Denton,Denton,TX,Proprietary,4,Above,Above,Below,Same,Same,Above,Same
4073,Houston Northwest Medical Center,Houston,TX,Proprietary,2,Same,Above,Below,Below,Above,Same,Same
4074,Texas Health Harris Methodist Hurst-euless-bedford,Bedford,TX,Private,3,Same,Below,Above,Same,Same,Same,Same
4075,Nocona General Hospital,Nocona,TX,Government,2,,,Below,,Same,Above,
4076,Doctors Hospital Of Laredo,Laredo,TX,Proprietary,3,Above,Below,Above,Below,Same,Same,Same
4077,West Houston Medical Center,Houston,TX,Proprietary,2,Same,Below,Below,Below,Same,Below,Same
4078,Medical City Dallas,Dallas,TX,Proprietary,4,Same,Above,Below,Above,Same,Same,Same
4079,Medical Center Of Plano,Plano,TX,Proprietary,2,Same,Below,Below,Same,Same,Above,Below
4080,Scenic Mountain Medical Center,Big Spring,TX,Proprietary,2,Below,Above,Below,Below,Same,Above,
4081,Starr County Memorial Hospital,Rio Grande City,TX,Government,3,Same,,Below,,Same,Below,Same
4082,Nacogdoches Medical Center,Nacogdoches,TX,Unknown,3,Same,Above,Same,Same,Same,Above,Same
4083,Freestone Medical Center,Fairfield,TX,Government,4,Same,,Above,,Same,Above,Same
4084,Park Plaza Hospital,Houston,TX,Proprietary,4,Same,Above,Above,Same,Same,Above,Same
4085,Odessa Regional Medical Center,Odessa,TX,Proprietary,2,Same,Same,Above,Below,Same,Below,Same
